NORAD_ID,Int_Designator,Epoch_Day,First_Derivative,Second_Derivative,BSTAR,Inclination,RAAN,Eccentricity,Argument_of_Perigee,Mean_Anomaly,Mean_Motion,Revolution_Number,Name,Group
14475,74089ER,121.2500914,6.13e-06,0.0,367.14,101.0399,292.0376,0.0124835,293.5455,250.2637,12.5981063,93152,Unknown,Unknown
14532,83118A,121.44691541,-1.63e-06,0.0,0.0,10.3609,317.2402,0.0027468,174.1959,200.3099,0.98270889,11649,GORIZONT 8,Gorizont
14565,77065FT,120.67773124,-1.957e-05,0.0,-362.0,29.2086,304.1533,0.0841276,357.1188,2.4716,12.48876836,99119,Unknown,Unknown
14569,82087D,121.90096127,-6.1e-07,0.0,7.0021,44.8434,319.8681,0.0122904,260.6556,233.7189,13.55825053,14886,Unknown,Unknown
14590,83127A,121.2385911,-6.5e-07,0.0,0.0,66.5756,342.5664,0.0009426,181.7307,21.5298,2.13099557,26242,Unknown,Unknown
14591,83127B,121.61689985,-6.6e-07,0.0,0.0,66.5666,342.4407,0.0022908,172.0259,10.9189,2.1310264,26243,Unknown,Unknown
14595,83127F,121.54941728,-6e-07,0.0,0.0,66.4389,337.5632,0.0066869,189.4966,353.7394,2.13938303,26266,Unknown,Unknown
14612,84001B,121.62015633,-6e-08,0.0,5.9041,74.0038,169.4901,0.0041018,121.0636,358.3434,12.58647979,89871,Unknown,Unknown
14616,84001F,121.65432972,-2e-07,0.0,-2.4467,74.0059,96.7948,0.0001157,29.8598,144.1005,12.5109687,47617,Unknown,Unknown
14621,81070K,120.03506269,6.653e-05,0.0,1314.4,90.5643,36.3735,0.6055632,20.4875,355.9478,3.80434949,46187,Unknown,Unknown
14700,84013B,121.74898058,6.87e-06,0.0,7.713,82.5372,348.553,0.0018477,197.0049,232.0795,14.85222573,22735,Unknown,Unknown
14716,65027P,121.44575315,8.3e-07,0.0,25.336,90.2459,4.8006,0.0028479,324.5853,216.2445,12.99425212,38660,Unknown,Unknown
14734,81108E,121.50902912,3.4e-07,0.0,0.0,71.8845,80.6115,0.4786931,329.9201,105.3462,2.01769547,27533,Unknown,Unknown
14736,81108G,121.44160731,8.9e-07,0.0,0.0,71.504,131.0268,0.4881385,334.9762,41.0519,2.0025796,22506,Unknown,Unknown
14760,84019B,121.77292714,5.18e-06,0.0,18.269,74.0429,244.6877,0.0026674,118.9341,241.4493,14.36983222,15636,Unknown,Unknown
14806,79078D,121.86986279,2.952e-05,0.0,62.765,74.0303,147.1501,0.0002217,73.2674,348.9146,14.59505271,48017,Unknown,Unknown
14813,83079C,121.77555824,2.102e-05,0.0,57.167,74.0338,335.6333,0.0015208,73.2494,50.9409,14.4804823,28402,Unknown,Unknown
14881,74089EU,121.81287301,2.1e-07,0.0,46.14,101.729,78.1081,0.0067041,34.2062,359.1524,12.42182213,98989,Unknown,Unknown
14907,77121BL,121.35401072,3.12e-06,0.0,55.224,66.0272,243.8917,0.0078923,286.9916,106.2138,13.54908453,14606,Unknown,Unknown
14909,78026GJ,121.69967045,3.517e-05,0.0,208.57,98.7283,179.5386,0.0135453,278.2309,209.3338,14.03723818,18871,Unknown,Unknown
14943,84041D,121.57503248,7e-08,0.0,0.0,10.3522,317.6881,0.0015023,209.8301,146.334,0.98626003,11721,Unknown,Unknown
14951,84031F,121.74667447,-2.1e-07,0.0,0.0,9.861,315.3412,0.0013755,243.0949,312.7282,0.99427342,11570,SL-12 R/B(2),Gpz Plus
14978,84047B,121.22928313,-6.4e-07,0.0,0.0,66.5409,342.0803,0.0011719,172.5338,354.2533,2.13102045,29074,Unknown,Unknown
14979,84047C,121.22955064,-6.5e-07,0.0,0.0,66.5678,343.1713,0.0009276,194.8609,329.9933,2.12912251,31836,Unknown,Unknown
15002,84052E,121.87410308,-8e-08,0.0,5.3857,74.012,73.3942,0.0025072,289.527,130.2838,12.51831991,60291,Unknown,Unknown
15005,84052H,121.7571845,7e-08,0.0,13.806,74.013,226.629,0.0051146,35.8049,131.9492,12.57375669,87861,Unknown,Unknown
15033,84056C,121.75534892,2.492e-05,0.0,66.327,74.067,119.4289,0.0010543,81.2047,335.9624,14.49027081,14280,Unknown,Unknown
15054,84047H,121.33702576,0.00018748,0.0,150.8,51.979,140.3747,0.4763075,281.5667,30.4253,6.07124308,66805,Unknown,Unknown
15100,84072B,121.84184832,5.2e-07,0.0,3.3546,82.5335,12.6896,0.0011622,187.9732,172.1246,13.84536402,6279,Unknown,Unknown
15144,84078A,121.87581494,-3.04e-06,0.0,0.0,9.6548,316.0541,0.0001797,328.9742,203.4939,1.00220955,15048,GORIZONT 10,Gorizont
15158,84081A,121.85545853,-2.11e-06,0.0,0.0,12.9643,335.697,0.0009164,209.5485,104.5531,0.98797508,11324,Unknown,Unknown
15236,84093C,121.84697066,-1.84e-06,0.0,0.0,11.6016,315.3204,0.0029233,271.3711,105.9792,0.97457131,12412,Unknown,Unknown
15264,84095F,121.91545012,1.8e-07,0.0,0.0,64.5906,86.242,0.0012224,53.6442,132.2389,2.13046564,31093,Unknown,Unknown
